,latent
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,3
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,3
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,3
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,3
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,3
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,3
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,3
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,3
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,3
112,3
113,1
114,3
115,0
116,1
117,3
118,1
119,1
120,1
121,3
122,3
123,1
124,3
125,1
126,1
127,1
128,3
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,3
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,1
170,1
171,1
172,1
173,2
174,2
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,2
186,2
187,1
188,1
189,2
190,2
191,1
192,1
193,2
194,2
195,2
196,1
197,1
198,1
199,1
200,1
201,1
202,3
203,3
204,3
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,1
221,1
222,3
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,1
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,1
244,1
245,1
246,1
247,3
248,2
249,2
250,3
251,1
252,1
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,3
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,3
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,2
290,2
291,2
292,1
293,1
294,2
295,2
296,2
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,3
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,2
320,2
321,1
322,3
323,1
324,3
325,1
326,3
327,3
328,3
329,1
330,1
331,1
332,3
333,1
334,3
335,3
336,2
337,2
338,2
339,2
340,2
341,1
342,1
343,1
344,1
345,3
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,3
357,3
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,3
366,1
367,1
368,1
369,1
370,1
371,3
372,1
373,1
374,3
375,1
376,1
377,1
378,1
379,3
380,1
381,1
382,1
383,3
384,1
385,1
386,1
387,3
388,1
389,3
390,3
391,3
392,1
393,1
394,3
395,1
396,1
397,3
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,3
415,3
416,3
417,1
418,1
419,1
420,3
421,1
422,1
423,3
424,1
425,3
426,3
427,1
428,2
429,2
430,2
431,2
432,1
433,1
434,1
435,3
436,1
437,1
438,1
439,1
440,3
441,1
442,1
443,2
444,2
445,2
446,2
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,3
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,2
491,2
492,2
493,2
494,2
495,1
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,1
506,1
507,1
508,1
509,1
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,3
521,3
522,3
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,1
531,1
532,1
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,1
543,3
544,1
545,2
546,2
547,2
548,2
549,1
550,2
551,2
552,2
553,2
554,2
555,2
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,2
567,2
568,2
569,1
570,1
571,1
572,1
573,1
574,1
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,3
591,1
592,1
593,1
594,1
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,3
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,2
615,2
616,2
617,3
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,3
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,2
641,2
642,2
643,2
644,2
645,2
646,2
647,1
648,1
649,1
650,1
651,1
652,3
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,3
667,1
668,1
669,3
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,3
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,2
692,2
693,2
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,2
707,2
708,2
709,2
710,1
711,1
712,1
713,1
714,1
715,0
716,1
717,0
718,0
719,0
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,3
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,3
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,3
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,3
768,1
769,1
770,1
771,1
772,1
773,1
774,3
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,3
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,3
798,3
799,1
800,3
801,3
802,1
803,1
804,1
805,1
806,3
807,1
808,1
809,1
810,1
811,1
812,1
